"","grp_code","state","group","emp_rate","unemp_rate"
"698",30,"Massachusetts","Men, 45 to 54 years",83.6,4.9
"699",31,"Massachusetts","Men, 55 to 64 years",68.2,6.8
"700",32,"Massachusetts","Men, 65 years and over",26.6,5
"701",33,"Massachusetts","Women, 16 to 19 years",30.8,20.2
"702",34,"Massachusetts","Women, 20 to 24 years",60.6,9
"703",35,"Massachusetts","Women, 25 to 34 years",72.8,8.1
"704",36,"Massachusetts","Women, 35 to 44 years",72.6,4.2
"705",37,"Massachusetts","Women, 45 to 54 years",75,5.1
"706",38,"Massachusetts","Women, 55 to 64 years",62.8,3.7
"707",39,"Massachusetts","Women, 65 years and over",15.1,5.4
"727",26,"Michigan","Men, 16 to 19 years",31,25.2
"728",27,"Michigan","Men, 20 to 24 years",61,15.2
"729",28,"Michigan","Men, 25 to 34 years",79.3,8.6
"730",29,"Michigan","Men, 35 to 44 years",86.2,5.9
"731",30,"Michigan","Men, 45 to 54 years",77.9,6.6
"732",31,"Michigan","Men, 55 to 64 years",55.8,8.2
"733",32,"Michigan","Men, 65 years and over",19.2,6.6
"734",33,"Michigan","Women, 16 to 19 years",26.4,22.1
"735",34,"Michigan","Women, 20 to 24 years",59.1,15.4
"736",35,"Michigan","Women, 25 to 34 years",68.6,8.6
"737",36,"Michigan","Women, 35 to 44 years",69.3,8.5
"738",37,"Michigan","Women, 45 to 54 years",66.6,6.2
"739",38,"Michigan","Women, 55 to 64 years",49.9,5.4
"740",39,"Michigan","Women, 65 years and over",12.1,3
"760",26,"Minnesota","Men, 16 to 19 years",34.6,18.5
"761",27,"Minnesota","Men, 20 to 24 years",75.1,8.7
"762",28,"Minnesota","Men, 25 to 34 years",89,5
"763",29,"Minnesota","Men, 35 to 44 years",91.1,3
"764",30,"Minnesota","Men, 45 to 54 years",87.2,4.6
"765",31,"Minnesota","Men, 55 to 64 years",73.8,4.4
"766",32,"Minnesota","Men, 65 years and over",24.2,4.3
"767",33,"Minnesota","Women, 16 to 19 years",44.7,11.9
"768",34,"Minnesota","Women, 20 to 24 years",76.2,5.9
"769",35,"Minnesota","Women, 25 to 34 years",79.6,4.3
"770",36,"Minnesota","Women, 35 to 44 years",77.9,3.8
"771",37,"Minnesota","Women, 45 to 54 years",79.5,3.6
"772",38,"Minnesota","Women, 55 to 64 years",67.8,3.6
"773",39,"Minnesota","Women, 65 years and over",14.5,4
"792",27,"Mississippi","Men, 20 to 24 years",46.7,24.2
"793",28,"Mississippi","Men, 25 to 34 years",78.9,7
"794",29,"Mississippi","Men, 35 to 44 years",78,7.4
"795",30,"Mississippi","Men, 45 to 54 years",76.2,4.6
"796",31,"Mississippi","Men, 55 to 64 years",55.4,4.3
"797",32,"Mississippi","Men, 65 years and over",19.2,5.3
"798",33,"Mississippi","Women, 16 to 19 years",25.9,22.8
"799",34,"Mississippi","Women, 20 to 24 years",47,18.4
"800",35,"Mississippi","Women, 25 to 34 years",67,8
"801",36,"Mississippi","Women, 35 to 44 years",66.8,8.2
"802",37,"Mississippi","Women, 45 to 54 years",63.7,5
"803",38,"Mississippi","Women, 55 to 64 years",43.3,4
"804",39,"Mississippi","Women, 65 years and over",10.2,5.6
"824",26,"Missouri","Men, 16 to 19 years",32.5,17.9
"825",27,"Missouri","Men, 20 to 24 years",65.2,12.6
"826",28,"Missouri","Men, 25 to 34 years",83.7,5.5
"827",29,"Missouri","Men, 35 to 44 years",86.7,5.9
"828",30,"Missouri","Men, 45 to 54 years",79.9,4.5
"829",31,"Missouri","Men, 55 to 64 years",68.6,4.3
"830",32,"Missouri","Men, 65 years and over",22.2,8
"831",33,"Missouri","Women, 16 to 19 years",32.5,19.5
"832",34,"Missouri","Women, 20 to 24 years",64.6,10
"833",35,"Missouri","Women, 25 to 34 years",71.3,6.3
"834",36,"Missouri","Women, 35 to 44 years",74.1,4.8
"835",37,"Missouri","Women, 45 to 54 years",67.9,6
"836",38,"Missouri","Women, 55 to 64 years",58,5.8
"837",39,"Missouri","Women, 65 years and over",14.3,4.2
"852",26,"Montana","Men, 16 to 19 years",33.3,16.3
"853",27,"Montana","Men, 20 to 24 years",70.5,11.2
"854",28,"Montana","Men, 25 to 34 years",85.6,5.1
"855",29,"Montana","Men, 35 to 44 years",83.6,6.1
"856",30,"Montana","Men, 45 to 54 years",79.5,5
"857",31,"Montana","Men, 55 to 64 years",62.8,5.4
"858",32,"Montana","Men, 65 years and over",26.2,4.3
"859",34,"Montana","Women, 20 to 24 years",70.5,5.2
"860",35,"Montana","Women, 25 to 34 years",69.6,4.1
"861",36,"Montana","Women, 35 to 44 years",76,5.1
"862",37,"Montana","Women, 45 to 54 years",73.3,4.2
"863",38,"Montana","Women, 55 to 64 years",62,3.9
